Primary_building_code,Borough_block_lot
Q115,4087170001.0
Q116,4102500001.0
Q117,4097230150.0
Q118,4109260050.0
Q119,4038120020.0
Q120,4063730001.0
Q121,4116070001.0
Q122,4008800001.0
Q123,4120190010.0
Q124,4118820001.0
Q125,4022840006.0
Q126,4005530001.0
Q127,4011090016.0
Q129,4039760001.0
Q130,4062030001.0
Q131,4098750001.0
Q132,4129270028.0
Q133,4086160001.0
Q134,4109060001.0
Q135,4105820016.0
Q136,4110180021.0
Q137,4091720001.0
Q138,4135780001.0
Q139,4030950050.0
Q140,4123410031.0
Q141,4008100001.0
Q142,4119720070.0
Q143,4017560025.0
Q144,4032120001.0
Q145,4012520001.0
Q146,4141680016.0
Q147,4113000001.0
Q148,4014190001.0
Q149,4014410015.0
Q150,4001850001.0
Q151,4007520001.0
Q152,4011840014.0
Q153,4027320018.0
Q154,4068340001.0
Q155,4116730001.0
Q156,4131700012.0
Q157,4021260014.0
Q158,4073120001.0
Q159,4060380013.0
Q160,4119420302.0
Q161,4094910001.0
Q162,4074100001.0
Q163,4067260070.0
Q164,4066060002.0
Q165,4066970012.0
Q166,4006100001.0
Q168,4068260001.0
Q169,4058650050.0
Q171,4005370014.0
Q172,4087310004.0
Q173,4069270022.0
Q174,4031340024.0
Q175,4021280014.0
Q176,4128200001.0
Q177,4056740002.0
Q178,4072770001.0
Q179,4071280010.0
Q180,4161590012.0
Q181,4137180001.0
Q183,4161120001.0
Q184,4057560001.0
Q185,4048020001.0
Q186,4084010375.0
Q188,4077740165.0
Q189,4050510027.0
Q190,4031720002.0
Q191,4088010014.0
Q192,4109440301.0
Q193,4045380001.0
Q194,4047290001.0
Q195,4136550001.0
Q196,4022480100.0
Q197,4155970001.0
Q198,4158940011.0
Q199,4002060003.0
Q200,4067890001.0
Q201,4067920100.0
Q202,4114030001.0
Q203,4074820317.0
Q204,4003430001.0
Q205,4077530001.0
Q206,4020830123.0
Q207,4140090060.0
Q208,4078700070.0
Q209,4057340001.0
Q210,4090670001.0
Q212,4014430019.0
Q213,4076770001.0
Q214,4044130020.0
Q215,4157720031.0
Q216,4069030001.0
Q217,4097240173.0
Q219,4065070001.0
Q220,4021430001.0
Q221,4082760620.0
Q222,4014600034.0
Q223,4120510020.0
Q225,4161810001.0
Q226,4117140100.0
Q227,4014230001.0
Q228,4014230057.0
Q229,4024230001.0
Q230,4012600001.0
Q231,4133310001.0
Q232,4114450001.0
Q234,4005920015.0
Q237,4051470001.0
Q238,4099190006.0
Q239,4035610001.0
Q242,4043710173.0
Q244,4051370043.0
Q245,4034280015.0
Q247,4030270037.0
Q251,4133310001.0
Q253,4155410001.0
Q254,4091770023.0
Q260,4016080058.0
Q262,4089750100.0
Q263,4108130005.0
Q266,4078700074.0
Q268,4102150001.0
Q270,4129730001.0
Q273,4092880101.0
Q276,4101440047.0
Q277,4097630023.0
Q280,4014540018.0
Q287,4017250001.0
Q290,4033650027.0
Q292,4017140018.0
Q298,4018910001.0
Q311,4016280021.0
Q313,4001690006.0
Q314,4098130033.0
Q315,4016130017.0
Q316,4090640031.0
Q329,4013770016.0
Q332,4073270028.0
Q335,4115580001.0
Q336,4040890045.0
Q339,4012280048.0
Q374,4136400001.0
Q398,401242003.0
Q400,4122610001.0
Q404,4000060008.0
Q405,4060440001.0
Q410,4161670099.0
Q415,4075290001.0
Q420,4130570056.0
Q425,4065070001.0
Q430,4068820001.0
Q435,4079300002.0
Q440,4021890002.0
Q445,4007380002.0
Q450,4004040001.0
Q451,4004170016.0
Q452,4005290002.0
Q455,4018490001.0
Q456,4019630005.0
Q460,4050020001.0
Q465,4157360001.0
Q470,4098580100.0
Q475,4093210001.0
Q480,4095220032.0
Q485,4033630001.0
Q490,4110490001.0
Q499,4065070150.0
Q505,4097740001.0
Q515,4065070100.0
Q520,4002490001.0
Q566,4078700072.0
Q570,4006390016.0
Q585,4028030001.0
Q595,4097680022.0
Q600,4002280020.0
Q610,4002260001.0
Q620,4098670002.0
Q633,4123930001.0
Q636,4094350016.0
Q650,4093810044.0
Q680,4097070048.0
Q686,4038860800.0
Q690,4123350049.0
Q695,4068580001.0
Q707,4068090056.0
Q721,4019850001.0
Q722,4018730050.0
Q725,4004380026.0
Q735,4002740001.0
Q739,4005420008.0
Q744,4016000061.0
Q774,4100990052.0
Q777,4022940026.0
Q781,4120330010.0
Q792,4066290035.0
Q798,4006340036.0
Q799,4104430001.0
Q811,4083610001.0
Q849,4035630023.0
Q868,4000180001.0
Q877,4024510021.0
Q884,4091210011.0
Q885,4012810038.0
Q891,4002820001.0
Q892,4109750001.0
Q972,4004320008.0
QAAT,4157370010.0
QABC,4036670023.0
QABE,4011360006.0
QACG,4097490036.0
QACS,4130190010.0
QADC,4019010026.0
QAEA,4006400024.0
QAGE,4155640063.0
QALJ,4003520001.0
QAOG,4017020034.0
QAPM,4084010001.0
QARY,4003980001.0
QAXX,4124490048.0
QBAW,0.0
QBKP,0.0
QBZP,4097600050.0
QCBE,4011240001.0
R001,5078980001.0
R002,5036960100.0
R003,5067960044.0
R004,5060250030.0
R005,5065660001.0
R006,5077600001.0
R007,5065440001.0
R008,5052210001.0
R011,5033030018.0
R013,5028520001.0
R014,5005450110.0
R016,5000180015.0
R018,5001760010.0
R019,5002270024.0
R020,5010200001.0
R021,5011350001.0
R022,5017060001.0
R023,5043730001.0
R024,5051530108.0
R026,5026340001.0
R027,5003080001.0
R029,5003310001.0
R030,5004230009.0
R031,5000490182.0
R032,5054440012.0
R034,5078940001.0
R035,5006100127.0
R036,5062620012.0
R038,5037320006.0
